Male, Female
186,172
176,166
178,160
191,161
178,166
178,168
169,169
181,161
178,176
178,161
188,155
177,163
181,161
181,170
182,162
172,166
179,171
173,171
164,161
166,172
180,171
183,169
185,180
182,172
178,172
176,167
175,163
182,170
180,163
178,164
189,178
186,157
178,162
182,158
180,174
189,172
185,166
191,167
178,166
183,161
180,163
184,172
184,173
178,168
180,168
177,164
178,172
186,175
178,162
184,169
,171
,170
,168
,158
,155
,167
,177
,174
,172
,172
,173
,170
,167
,182
,167
,168
,155
,178
,175
,168
,162
,161
,177
,175
,158
