,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
KobeBryant,978,813,775,800,716,740,574,738,31,266
JoeJohnson,632,536,647,620,635,514,423,445,462,446
LeBronJames,875,772,794,789,768,758,621,765,767,624
CarmeloAnthony,756,691,728,535,688,684,441,669,743,358
DwightHoward,468,526,583,560,510,619,416,470,473,251
ChrisBosh,549,543,507,615,600,524,393,485,492,343
ChrisPaul,407,381,630,631,314,430,425,412,406,568
KevinDurant,306,306,587,661,794,711,643,731,849,238
DerrickRose,208,208,208,574,672,711,302,0,58,338
DwayneWade,699,472,439,854,719,692,416,569,415,509
