Diet,Weight Week 1,Weight Week 8
1,59,55
1,61,55
1,65,64
1,65,62
1,66,63
1,67,65
1,68,66
1,70,65
1,71,69
1,71,68
1,73,72
1,73,70
1,73,69
1,83,82
1,72,73
1,73,72
1,75,71
1,79,75
1,81,76
1,81,79
1,84,80
1,86,83
1,88,83
1,89,86
2,61,61
2,96,88
2,59,61
2,59,57
2,60,58
2,62,58
2,63,56
2,64,63
2,64,61
2,64,60
2,66,63
2,67,65
2,69,65
2,69,64
2,77,74
2,78,79
2,72,68
2,76,74
2,76,70
2,77,74
2,79,74
2,79,77
2,80,75
2,80,74
2,80,72
2,81,82
2,81,77
3,61,54
3,63,57
3,65,62
3,66,59
3,67,59
3,68,63
3,68,61
3,70,63
3,71,64
3,71,64
3,73,72
3,73,65
3,74,70
3,76,70
3,77,72
3,72,70
3,74,73
3,77,74
3,79,79
3,79,76
3,79,70
3,80,76
3,84,81
3,85,81
3,86,81
3,88,79
3,89,83
